Species,Gene,Genome,Localization,Complex,FPKM
Arabidopsis_dataset1,ND1,Mitochondria,Mitochondria,I,12601.2
Arabidopsis_dataset1,ND2,Mitochondria,Mitochondria,I,6681.41
Arabidopsis_dataset1,ND3,Mitochondria,Mitochondria,I,1651.11
Arabidopsis_dataset1,ND4,Mitochondria,Mitochondria,I,11377.39
Arabidopsis_dataset1,ND4L,Mitochondria,Mitochondria,I,651.6
Arabidopsis_dataset1,ND5,Mitochondria,Mitochondria,I,18928.29
Arabidopsis_dataset1,ND6,Mitochondria,Mitochondria,I,44301.65
Arabidopsis_dataset1,ND7,Mitochondria,Mitochondria,I,22329.34
Arabidopsis_dataset1,ND9,Mitochondria,Mitochondria,I,11689.05
Arabidopsis_dataset1,COB,Mitochondria,Mitochondria,III,78090.42
Arabidopsis_dataset1,COX 1,Mitochondria,Mitochondria,IV,103120.62
Arabidopsis_dataset1,COX 2,Mitochondria,Mitochondria,IV,15910.36
Arabidopsis_dataset1,COX 3,Mitochondria,Mitochondria,IV,42695.49
Arabidopsis_dataset1,ATP1,Mitochondria,Mitochondria,V,166872.88
Arabidopsis_dataset1,ATP4,Mitochondria,Mitochondria,V,26649.93
Arabidopsis_dataset1,ATP6-1,Mitochondria,Mitochondria,V,34342.85
Arabidopsis_dataset1,ATP8,Mitochondria,Mitochondria,V,61175.62
Arabidopsis_dataset1,ATP9,Mitochondria,Mitochondria,V,30272.43
Arabidopsis_dataset1,L2,Mitochondria,Mitochondria,RPL,19784.86
Arabidopsis_dataset1,L5,Mitochondria,Mitochondria,RPL,30696.92
Arabidopsis_dataset1,L16,Mitochondria,Mitochondria,RPL,30068.5
Arabidopsis_dataset1,S3,Mitochondria,Mitochondria,RPS,12808.37
Arabidopsis_dataset1,S4,Mitochondria,Mitochondria,RPS,3455.88
Arabidopsis_dataset1,S7,Mitochondria,Mitochondria,RPS,6400.19
Arabidopsis_dataset1,S12,Mitochondria,Mitochondria,RPS,1344.38
Arabidopsis_dataset1,FPBP1,Nuclear,Mitochondria,I,2009.99
Arabidopsis_dataset1,FPBP2,Nuclear,Mitochondria,I,16345.13
Arabidopsis_dataset1,FPBP3,Nuclear,Mitochondria,I,1641.7
Arabidopsis_dataset1,FPBP4,Nuclear,Mitochondria,I,2174.27
Arabidopsis_dataset1,FPBP5,Nuclear,Mitochondria,I,2598.12
Arabidopsis_dataset1,NDU16,Nuclear,Mitochondria,I,16561.89
Arabidopsis_dataset1,NDUFA1,Nuclear,Mitochondria,I,8522.86
Arabidopsis_dataset1,NDUFA11,Nuclear,Mitochondria,I,13184.3
Arabidopsis_dataset1,NDUFA12a,Nuclear,Mitochondria,I,25643.33
Arabidopsis_dataset1,NDUFA12b,Nuclear,Mitochondria,I,2564.33
Arabidopsis_dataset1,NDUFA2,Nuclear,Mitochondria,I,18527.56
Arabidopsis_dataset1,NDUFA5,Nuclear,Mitochondria,I,16532.36
Arabidopsis_dataset1,NDUFA6,Nuclear,Mitochondria,I,15535.74
Arabidopsis_dataset1,NDUFA8a,Nuclear,Mitochondria,I,12685.66
Arabidopsis_dataset1,NDUFA8b,Nuclear,Mitochondria,I,8115.18
Arabidopsis_dataset1,NDUFA9,Nuclear,Mitochondria,I,7359.63
Arabidopsis_dataset1,NDUFB10a,Nuclear,Mitochondria,I,16785.79
Arabidopsis_dataset1,NDUFB10b,Nuclear,Mitochondria,I,4993.96
Arabidopsis_dataset1,NDUFB7,Nuclear,Mitochondria,I,6669.68
Arabidopsis_dataset1,NDUFB9,Nuclear,Mitochondria,I,12760.85
Arabidopsis_dataset1,NDUFS1,Nuclear,Mitochondria,I,6454.45
Arabidopsis_dataset1,NDUFS4,Nuclear,Mitochondria,I,12763.73
Arabidopsis_dataset1,NDUFS5a,Nuclear,Mitochondria,I,14601.84
Arabidopsis_dataset1,NDUFS5b,Nuclear,Mitochondria,I,10976.54
Arabidopsis_dataset1,NDUFS6,Nuclear,Mitochondria,I,9524.95
Arabidopsis_dataset1,NDUFS7,Nuclear,Mitochondria,I,4843.85
Arabidopsis_dataset1,NDUFV1,Nuclear,Mitochondria,I,12502.4
Arabidopsis_dataset1,NDUFV2,Nuclear,Mitochondria,I,10344.95
Arabidopsis_dataset1,NDUSF8a,Nuclear,Mitochondria,I,7251.69
Arabidopsis_dataset1,NDUSF8b,Nuclear,Mitochondria,I,5943.7
Arabidopsis_dataset1,SDH1-1,Nuclear,Mitochondria,II,13730.04
Arabidopsis_dataset1,SDH2-2,Nuclear,Mitochondria,II,2442.79
Arabidopsis_dataset1,SDH3,Nuclear,Mitochondria,II,18824.52
Arabidopsis_dataset1,SDH4,Nuclear,Mitochondria,II,2926.75
Arabidopsis_dataset1,SDH5,Nuclear,Mitochondria,II,15627.42
Arabidopsis_dataset1,SDH6,Nuclear,Mitochondria,II,1301.09
Arabidopsis_dataset1,SDH7-1,Nuclear,Mitochondria,II,5117.78
Arabidopsis_dataset1,CYC1-1,Nuclear,Mitochondria,III,13135.86
Arabidopsis_dataset1,QCR6-1,Nuclear,Mitochondria,III,4341.49
Arabidopsis_dataset1,QCR7-1,Nuclear,Mitochondria,III,26429.79
Arabidopsis_dataset1,QCR9,Nuclear,Mitochondria,III,43861.41
Arabidopsis_dataset1,UCR1-1,Nuclear,Mitochondria,III,15868.71
Arabidopsis_dataset1,UCRY,Nuclear,Mitochondria,III,11490.87
Arabidopsis_dataset1,UCRQ-1,Nuclear,Mitochondria,III,98166.01
Arabidopsis_dataset1,MPP alpha-1,Nuclear,Mitochondria,III,13469.17
Arabidopsis_dataset1,MPP beta,Nuclear,Mitochondria,III,9528.84
Arabidopsis_dataset1,COX 5b-1,Nuclear,Mitochondria,IV,16437.43
Arabidopsis_dataset1,COX 5c-1,Nuclear,Mitochondria,IV,38525.41
Arabidopsis_dataset1,COX 6a,Nuclear,Mitochondria,IV,59722.06
Arabidopsis_dataset1,COX 6b-1,Nuclear,Mitochondria,IV,14103.57
Arabidopsis_dataset1,COX 6c,Nuclear,Mitochondria,IV,1518.37
Arabidopsis_dataset1,COX X2-1,Nuclear,Mitochondria,IV,18106.7
Arabidopsis_dataset1,COX X3,Nuclear,Mitochondria,IV,3753.95
Arabidopsis_dataset1,COX X4,Nuclear,Mitochondria,IV,2699.3
Arabidopsis_dataset1,COX X6,Nuclear,Mitochondria,IV,547.4
Arabidopsis_dataset1,ATP15,Nuclear,Mitochondria,V,278904.57
Arabidopsis_dataset1,ATP16,Nuclear,Mitochondria,V,1920.59
Arabidopsis_dataset1,ATP17,Nuclear,Mitochondria,V,5480.81
Arabidopsis_dataset1,ATP20-1,Nuclear,Mitochondria,V,21131.93
Arabidopsis_dataset1,ATP2a,Nuclear,Mitochondria,V,17313.71
Arabidopsis_dataset1,ATP2b,Nuclear,Mitochondria,V,7038.51
Arabidopsis_dataset1,ATP2c,Nuclear,Mitochondria,V,13958.3
Arabidopsis_dataset1,ATP3,Nuclear,Mitochondria,V,6424.91
Arabidopsis_dataset1,ATP7,Nuclear,Mitochondria,V,17042.43
Arabidopsis_dataset1,L1,Nuclear,Mitochondria,RPL,1625.87
Arabidopsis_dataset1,L10,Nuclear,Mitochondria,RPL,2125.43
Arabidopsis_dataset1,L11,Nuclear,Mitochondria,RPL,17323.82
Arabidopsis_dataset1,L13,Nuclear,Mitochondria,RPL,2130.3
Arabidopsis_dataset1,L14-1,Nuclear,Mitochondria,RPL,2196.47
Arabidopsis_dataset1,L15,Nuclear,Mitochondria,RPL,3312.28
Arabidopsis_dataset1,L17-1,Nuclear,Mitochondria,RPL,2685.66
Arabidopsis_dataset1,L18,Nuclear,Mitochondria,RPL,214.35
Arabidopsis_dataset1,L19-1,Nuclear,Mitochondria,RPL,2845.9
Arabidopsis_dataset1,L20,Nuclear,Mitochondria,RPL,1483.26
Arabidopsis_dataset1,L21,Nuclear,Mitochondria,RPL,841.96
Arabidopsis_dataset1,L22-1,Nuclear,Mitochondria,RPL,4931.26
Arabidopsis_dataset1,L23,Nuclear,Mitochondria,RPL,3315.33
Arabidopsis_dataset1,L24,Nuclear,Mitochondria,RPL,872.24
Arabidopsis_dataset1,L27-1,Nuclear,Mitochondria,RPL,5312.28
Arabidopsis_dataset1,L28,Nuclear,Mitochondria,RPL,371.38
Arabidopsis_dataset1,L29,Nuclear,Mitochondria,RPL,244.6
Arabidopsis_dataset1,L3,Nuclear,Mitochondria,RPL,5153.69
Arabidopsis_dataset1,L30,Nuclear,Mitochondria,RPL,489.78
Arabidopsis_dataset1,L32,Nuclear,Mitochondria,RPL,380.71
Arabidopsis_dataset1,L33,Nuclear,Mitochondria,RPL,1062.26
Arabidopsis_dataset1,L36,Nuclear,Mitochondria,RPL,1569.34
Arabidopsis_dataset1,L4,Nuclear,Mitochondria,RPL,1611.1
Arabidopsis_dataset1,L6,Nuclear,Mitochondria,RPL,1013.96
Arabidopsis_dataset1,L7/L12-1,Nuclear,Mitochondria,RPL,8371.6
Arabidopsis_dataset1,L9,Nuclear,Mitochondria,RPL,426.06
Arabidopsis_dataset1,S10,Nuclear,Mitochondria,RPS,426.06
Arabidopsis_dataset1,S11,Nuclear,Mitochondria,RPS,2275.49
Arabidopsis_dataset1,S14,Nuclear,Mitochondria,RPS,665.22
Arabidopsis_dataset1,S15-1,Nuclear,Mitochondria,RPS,2943.39
Arabidopsis_dataset1,S16-1,Nuclear,Mitochondria,RPS,56915.97
Arabidopsis_dataset1,S17-1,Nuclear,Mitochondria,RPS,524.2
Arabidopsis_dataset1,S18,Nuclear,Mitochondria,RPS,1795.54
Arabidopsis_dataset1,S19,Nuclear,Mitochondria,RPS,6045.32
Arabidopsis_dataset1,S2,Nuclear,Mitochondria,RPS,1727.8
Arabidopsis_dataset1,S21,Nuclear,Mitochondria,RPS,25.67
Arabidopsis_dataset1,S5,Nuclear,Mitochondria,RPS,1650.1
Arabidopsis_dataset1,S6,Nuclear,Mitochondria,RPS,1976.18
Arabidopsis_dataset1,S8,Nuclear,Mitochondria,RPS,5971.94
Arabidopsis_dataset1,S9,Nuclear,Mitochondria,RPS,535.07
Arabidopsis_dataset2,ND1,Mitochondria,Mitochondria,I,28558.65
Arabidopsis_dataset2,ND2,Mitochondria,Mitochondria,I,14328.45
Arabidopsis_dataset2,ND3,Mitochondria,Mitochondria,I,7974.77
Arabidopsis_dataset2,ND4,Mitochondria,Mitochondria,I,21842.45
Arabidopsis_dataset2,ND4L,Mitochondria,Mitochondria,I,12520.66
Arabidopsis_dataset2,ND5,Mitochondria,Mitochondria,I,18993.54
Arabidopsis_dataset2,ND6,Mitochondria,Mitochondria,I,57440.58
Arabidopsis_dataset2,ND7,Mitochondria,Mitochondria,I,19352.96
Arabidopsis_dataset2,ND9,Mitochondria,Mitochondria,I,26750.28
Arabidopsis_dataset2,cob-1,Mitochondria,Mitochondria,III,50185.81
Arabidopsis_dataset2,COX 1,Mitochondria,Mitochondria,IV,57786.96
Arabidopsis_dataset2,COX 2,Mitochondria,Mitochondria,IV,58407.13
Arabidopsis_dataset2,COX 3,Mitochondria,Mitochondria,IV,60873.88
Arabidopsis_dataset2,ATP1,Mitochondria,Mitochondria,V,139309.54
Arabidopsis_dataset2,ATP4,Mitochondria,Mitochondria,V,22365.54
Arabidopsis_dataset2,ATP6-1,Mitochondria,Mitochondria,V,82390.24
Arabidopsis_dataset2,ATP8,Mitochondria,Mitochondria,V,82154.49
Arabidopsis_dataset2,ATP9,Mitochondria,Mitochondria,V,290701.73
Arabidopsis_dataset2,L5,Mitochondria,Mitochondria,RPL,16490.87
Arabidopsis_dataset2,L2,Mitochondria,Mitochondria,RPL,12235.05
Arabidopsis_dataset2,L16,Mitochondria,Mitochondria,RPL,21226.32
Arabidopsis_dataset2,S12,Mitochondria,Mitochondria,RPS,11557.92
Arabidopsis_dataset2,S3,Mitochondria,Mitochondria,RPS,13674.28
Arabidopsis_dataset2,S4,Mitochondria,Mitochondria,RPS,7380.13
Arabidopsis_dataset2,S7,Mitochondria,Mitochondria,RPS,3457.61
Arabidopsis_dataset2,FPBP1,Nuclear,Mitochondria,I,1089.95
Arabidopsis_dataset2,FPBP2,Nuclear,Mitochondria,I,4704.57
Arabidopsis_dataset2,FPBP3,Nuclear,Mitochondria,I,2063.67
Arabidopsis_dataset2,FPBP4,Nuclear,Mitochondria,I,2171.75
Arabidopsis_dataset2,FPBP5,Nuclear,Mitochondria,I,2194.75
Arabidopsis_dataset2,NDU16,Nuclear,Mitochondria,I,6301.72
Arabidopsis_dataset2,NDUFA1,Nuclear,Mitochondria,I,7566.89
Arabidopsis_dataset2,NDUFA11,Nuclear,Mitochondria,I,4512
Arabidopsis_dataset2,NDUFA12a,Nuclear,Mitochondria,I,3408.02
Arabidopsis_dataset2,NDUFA12b,Nuclear,Mitochondria,I,1308.88
Arabidopsis_dataset2,NDUFA2,Nuclear,Mitochondria,I,5597.49
Arabidopsis_dataset2,NDUFA5,Nuclear,Mitochondria,I,4021.74
Arabidopsis_dataset2,NDUFA6,Nuclear,Mitochondria,I,4766.17
Arabidopsis_dataset2,NDUFA8a,Nuclear,Mitochondria,I,726.39
Arabidopsis_dataset2,NDUFA8b,Nuclear,Mitochondria,I,3355.45
Arabidopsis_dataset2,NDUFA9,Nuclear,Mitochondria,I,2906.33
Arabidopsis_dataset2,NDUFB10a,Nuclear,Mitochondria,I,2277.5
Arabidopsis_dataset2,NDUFB10b,Nuclear,Mitochondria,I,4888.9
Arabidopsis_dataset2,NDUFB7,Nuclear,Mitochondria,I,5753.92
Arabidopsis_dataset2,NDUFB9,Nuclear,Mitochondria,I,5526.98
Arabidopsis_dataset2,NDUFS1,Nuclear,Mitochondria,I,4503.88
Arabidopsis_dataset2,NDUFS4,Nuclear,Mitochondria,I,4687.29
Arabidopsis_dataset2,NDUFS5a,Nuclear,Mitochondria,I,413.55
Arabidopsis_dataset2,NDUFS5b,Nuclear,Mitochondria,I,1095.33
