TaxonomicGroup,Species(3 letter codes follow KEGG nomenclature),PAMLmodel,GeneGroup,dS,dN,omega (dN/dS)
Primates,ConcatenatedAlignment,0,Mt,4.5764,0.4285,0.09363255
Primates,ConcatenatedAlignment,0,Nuc-OXPHOS,0.4509,0.1824,0.404524285
Primates,ConcatenatedAlignment,0,Nuc-Glycolysis,1.2978,0.4842,0.373092926
Primates,Homo sapiens (human),1,Mt,0.174557,0.011004,0.06303958
Primates,Pan troglodytes (chimpanzee),1,Mt,0.069893,0.007284,0.104216445
Primates,Pan paniscus (bonobo),1,Mt,0.057439,0.00542,0.094360974
Primates,Pongo abelii (Sumatran orangutan),1,Mt,0.330937,0.041396,0.125087252
Primates,Nomascus leucogenys (northern white-cheeked gibbon),1,Mt,0.372457,0.037823,0.101549978
Primates,Macaca mulatta (rhesus monkey),1,Mt,0.14022,0.017154,0.122336329
Primates,Macaca fascicularis (crab-eating macaque),1,Mt,0.126515,0.014716,0.116318223
Primates,Rhinopithecus roxellaConcatenatedAlignment (golden snub-nosed monkey),1,Mt,0.702962,0.046301,0.06586558
Primates,Callithrix jacchus (white-tufted-ear marmoset),1,Mt,2.302693,0.122382,0.053147337
Primates,Homo sapiens (human),1,Nuc-OXPHOS,0.024039,0.011889,0.494571322
Primates,Pan troglodytes (chimpanzee),1,Nuc-OXPHOS,0.010364,0.009414,0.90833655
Primates,Pan paniscus (bonobo),1,Nuc-OXPHOS,0.026646,0.015362,0.576521804
Primates,Pongo abelii (Sumatran orangutan),1,Nuc-OXPHOS,0.046174,0.01719,0.372287434
Primates,Nomascus leucogenys (northern white-cheeked gibbon),1,Nuc-OXPHOS,0.03363,0.015061,0.447844187
Primates,Macaca mulatta (rhesus monkey),1,Nuc-OXPHOS,0.013791,0.010034,0.727575955
Primates,Macaca fascicularis (crab-eating macaque),1,Nuc-OXPHOS,0.030123,0.01615,0.536135179
Primates,Rhinopithecus roxellaConcatenatedAlignment (golden snub-nosed monkey),1,Nuc-OXPHOS,0.04071,0.020235,0.497052321
Primates,Callithrix jacchus (white-tufted-ear marmoset),1,Nuc-OXPHOS,0.121706,0.035645,0.292877919
Primates,Homo sapiens (human),1,Nuc-Glycolysis,0.080054,0.030268,0.378094786
Primates,Pan troglodytes (chimpanzee),1,Nuc-Glycolysis,0.065472,0.02986,0.456072825
Primates,Pan paniscus (bonobo),1,Nuc-Glycolysis,0.099197,0.037269,0.375706927
Primates,Pongo abelii (Sumatran orangutan),1,Nuc-Glycolysis,0.135139,0.046891,0.346983476
Primates,Nomascus leucogenys (northern white-cheeked gibbon),1,Nuc-Glycolysis,0.204868,0.089482,0.436778804
Primates,Macaca mulatta (rhesus monkey),1,Nuc-Glycolysis,0.143233,0.058608,0.409179449
Primates,Macaca fascicularis (crab-eating macaque),1,Nuc-Glycolysis,0.057303,0.02177,0.379910301
Primates,Rhinopithecus roxellaConcatenatedAlignment (golden snub-nosed monkey),1,Nuc-Glycolysis,0.140932,0.055295,0.39235234
Primates,Callithrix jacchus (white-tufted-ear marmoset),1,Nuc-Glycolysis,0.2048,0.06165,0.301025391
Rodents,ConcatenatedAlignment,0,Mt,5.7378,0.3625,0.063177524
Rodents,ConcatenatedAlignment,0,Nuc-OXPHOS,0.9696,0.1695,0.174814356
Rodents,ConcatenatedAlignment,0,Nuc-Glycolysis,1.4072,0.2871,0.204022172
Rodents,Heterocephalus glaber (ConcatenatedAlignmentked mole rat),1,Mt,1.170544,0.110068,0.094031493
Rodents,ConcatenatedAlignmentnnospalax galili (Upper Galilee mountains blind mole rat),1,Mt,0.93012,0.066099,0.071065024
Rodents,Cricetulus griseus (Chinese hamster),1,Mt,1.264794,0.064721,0.051171179
Rodents,Mus musculus (mouse),1,Mt,0.707846,0.029663,0.041906008
Rodents,Rattus norvegicus (rat),1,Mt,0.663031,0.028518,0.043011564
Rodents,Heterocephalus glaber (ConcatenatedAlignmentked mole rat),1,Nuc-OXPHOS,0.285453,0.0511,0.179013708
Rodents,ConcatenatedAlignmentnnospalax galili (Upper Galilee mountains blind mole rat),1,Nuc-OXPHOS,0.178706,0.029812,0.166821483
Rodents,Cricetulus griseus (Chinese hamster),1,Nuc-OXPHOS,0.141568,0.031904,0.225361664
Rodents,Mus musculus (mouse),1,Nuc-OXPHOS,0.095029,0.01336,0.140588662
Rodents,Rattus norvegicus (rat),1,Nuc-OXPHOS,0.103666,0.01854,0.178843594
Rodents,Heterocephalus glaber (ConcatenatedAlignmentked mole rat),1,Nuc-Glycolysis,0.373321,0.057322,0.153546144
Rodents,ConcatenatedAlignmentnnospalax galili (Upper Galilee mountains blind mole rat),1,Nuc-Glycolysis,0.31171,0.087285,0.28001989
Rodents,Cricetulus griseus (Chinese hamster),1,Nuc-Glycolysis,0.236856,0.050827,0.2145903
Rodents,Mus musculus (mouse),1,Nuc-Glycolysis,0.167856,0.032145,0.191503432
Rodents,Rattus norvegicus (rat),1,Nuc-Glycolysis,0.123218,0.023927,0.194184291
Cetartiodactyls,ConcatenatedAlignment,0,Mt,5.0923,0.301,0.059108851
Cetartiodactyls,ConcatenatedAlignment,0,Nuc-OXPHOS,0.9261,0.2346,0.253320376
Cetartiodactyls,ConcatenatedAlignment,0,Nuc-Glycolysis,1.8121,0.5769,0.318359914
Cetartiodactyls,Equus caballus (horse),1,Mt,0.69073,0.039958,0.057848942
Cetartiodactyls,Camelus ferus (Wild Bactrian camel),1,Mt,1.275101,0.04647,0.036444172
Cetartiodactyls,Lipotes vexillifer (Yangtze River dolphin),1,Mt,0.58033,0.072985,0.125764651
Cetartiodactyls,Sus scrofa (pig),1,Mt,0.66872,0.03952,0.059097978
Cetartiodactyls,Bos mutus (wild yak),1,Mt,0.104408,0.005699,0.05458394
Cetartiodactyls,Bos taurus (cow),1,Mt,0.141431,0.006233,0.04407096
Cetartiodactyls,Pantholops hodgsonii (chiru),1,Mt,0.261952,0.009417,0.035949334
Cetartiodactyls,Ovis aries (sheep),1,Mt,0.239167,0.008991,0.037592979
Cetartiodactyls,Capra hircus (goat),1,Mt,0.230103,0.013102,0.056939718
Cetartiodactyls,Equus caballus (horse),1,Nuc-OXPHOS,0.16698,0.030518,0.182764403
Cetartiodactyls,Camelus ferus (Wild Bactrian camel),1,Nuc-OXPHOS,0.133398,0.02907,0.217919309
Cetartiodactyls,Lipotes vexillifer (Yangtze River dolphin),1,Nuc-OXPHOS,0.088451,0.019892,0.224892879
Cetartiodactyls,Sus scrofa (pig),1,Nuc-OXPHOS,0.1411,0.023334,0.165372077
Cetartiodactyls,Bos mutus (wild yak),1,Nuc-OXPHOS,0.021982,0.013769,0.626376126
Cetartiodactyls,Bos taurus (cow),1,Nuc-OXPHOS,0.025689,0.009226,0.359142045
Cetartiodactyls,Pantholops hodgsonii (chiru),1,Nuc-OXPHOS,0.042149,0.019698,0.467342048
Cetartiodactyls,Ovis aries (sheep),1,Nuc-OXPHOS,0.030487,0.013119,0.43031456
Cetartiodactyls,Capra hircus (goat),1,Nuc-OXPHOS,0.049386,0.026719,0.541023772
Cetartiodactyls,Equus caballus (horse),1,Nuc-Glycolysis,0.261714,0.076631,0.292804359
Cetartiodactyls,Camelus ferus (Wild Bactrian camel),1,Nuc-Glycolysis,0.239852,0.071502,0.298108834
Cetartiodactyls,Lipotes vexillifer (Yangtze River dolphin),1,Nuc-Glycolysis,0.169162,0.049038,0.2898878
Cetartiodactyls,Sus scrofa (pig),1,Nuc-Glycolysis,0.211255,0.042064,0.199114814
Cetartiodactyls,Bos mutus (wild yak),1,Nuc-Glycolysis,0.134983,0.060707,0.449738115
Cetartiodactyls,Bos taurus (cow),1,Nuc-Glycolysis,0.127895,0.048194,0.376824739
Cetartiodactyls,Pantholops hodgsonii (chiru),1,Nuc-Glycolysis,0.113146,0.046205,0.408366182
Cetartiodactyls,Ovis aries (sheep),1,Nuc-Glycolysis,0.187521,0.081786,0.436143152
Cetartiodactyls,Capra hircus (goat),1,Nuc-Glycolysis,0.150023,0.053202,0.354625624
Carnivores,ConcatenatedAlignment,0,Mt,3.258,0.1302,0.039963168
Carnivores,ConcatenatedAlignment,0,Nuc-OXPHOS,0.4005,0.0859,0.214481898
Carnivores,ConcatenatedAlignment,0,Nuc-Glycolysis,0.7674,0.2304,0.300234558
Carnivores,Felis catus (domestic cat),1,Mt,1.22123,0.034863,0.028547448
Carnivores,Canis familiaris (dog),1,Mt,1.468208,0.030272,0.020618332
Carnivores,Ursus maritimus (polar bear),1,Mt,0.449473,0.025428,0.05657292
Carnivores,Ailuropoda melanoleuca (giant panda),1,Mt,0.45397,0.023019,0.050705994
Carnivores,Felis catus (domestic cat),1,Nuc-OXPHOS,0.135618,0.02318,0.170921264
Carnivores,Canis familiaris (dog),1,Nuc-OXPHOS,0.11091,0.01801,0.162383915
Carnivores,Ursus maritimus (polar bear),1,Nuc-OXPHOS,0.041947,0.019464,0.464014113
Carnivores,Ailuropoda melanoleuca (giant panda),1,Nuc-OXPHOS,0.052018,0.018197,0.349821216
Carnivores,Felis catus (domestic cat),1,Nuc-Glycolysis,0.18887,0.044478,0.235495314
Carnivores,Canis familiaris (dog),1,Nuc-Glycolysis,0.214246,0.067571,0.315389786
Carnivores,Ursus maritimus (polar bear),1,Nuc-Glycolysis,0.221212,0.092226,0.416912283
Carnivores,Ailuropoda melanoleuca (giant panda),1,Nuc-Glycolysis,0.042659,0.012686,0.297381561
Bats,ConcatenatedAlignment,0,Mt,2.5911,0.1602,0.061827023
Bats,ConcatenatedAlignment,0,Nuc-OXPHOS,0.3599,0.0748,0.20783551
Bats,ConcatenatedAlignment,0,Nuc-Glycolysis,0.6974,0.1929,0.276598796
Bats,Myotis brandtii (Brandt's bat),1,Mt,0.35028,0.016572,0.047310723
Bats,Myotis davidii,1,Mt,0.652814,0.060515,0.092698686
Bats,Pteropus alecto (black flying fox),1,Mt,1.986984,0.084068,0.042309349
Bats,Myotis brandtii (Brandt's bat),1,Nuc-OXPHOS,0.031772,0.013142,0.413634647
Bats,Myotis davidii,1,Nuc-OXPHOS,0.051033,0.016296,0.319322791
Bats,Pteropus alecto (black flying fox),1,Nuc-OXPHOS,0.282371,0.045281,0.160359952
Bats,Myotis brandtii (Brandt's bat),1,Nuc-Glycolysis,0.161301,0.044327,0.274809208
Bats,Myotis davidii,1,Nuc-Glycolysis,0.154404,0.058227,0.377108106
Bats,Pteropus alecto (black flying fox),1,Nuc-Glycolysis,0.38758,0.09017,0.232648743
Birds,ConcatenatedAlignment,0,Mt,6.1871,0.421,0.068044803
Birds,ConcatenatedAlignment,0,Nuc-OXPHOS,1.9184,0.4353,0.22690784
Birds,ConcatenatedAlignment,0,Nuc-Glycolysis,2.7537,0.7413,0.269201438
Birds,Gallus gallus (chicken),1,Mt,0.275352,0.015902,0.057751533
Birds,Meleagris gallopavo (turkey),1,Mt,0.576237,0.02404,0.041718946
Birds,AConcatenatedAlignments platyrhynchos (mallard),1,Mt,0.803278,0.037831,0.047095775
Birds,Columba livia (rock pigeon),1,Mt,0.894491,0.067193,0.075118699
Birds,Ficedula albicollis (collared flycatcher),1,Mt,0.417798,0.023627,0.056551252
Birds,Taeniopygia guttata (zebra finch),1,Mt,0.468245,0.030408,0.064940362
Birds,Pseudopodoces humilis (Tibetan ground-tit),1,Mt,0.429855,0.023531,0.054741715
Birds,Falco peregrinus (peregrine falcon),1,Mt,0.08824,0.002797,0.031697643
Birds,Falco cherrug (Saker falcon),1,Mt,0.065824,0.003941,0.059871779
Birds,Corvus cornix (hooded crow),1,Mt,0.572103,0.029776,0.052046572
Birds,Gallus gallus (chicken),1,Nuc-OXPHOS,0.071188,0.016309,0.229097601
Birds,Meleagris gallopavo (turkey),1,Nuc-OXPHOS,0.114892,0.040446,0.352034955
Birds,AConcatenatedAlignments platyrhynchos (mallard),1,Nuc-OXPHOS,0.190096,0.056389,0.296634332
Birds,Columba livia (rock pigeon),1,Nuc-OXPHOS,0.349912,0.062642,0.179022154
Birds,Ficedula albicollis (collared flycatcher),1,Nuc-OXPHOS,0.12783,0.045825,0.358483924
Birds,Taeniopygia guttata (zebra finch),1,Nuc-OXPHOS,0.090086,0.027066,0.30044624
Birds,Pseudopodoces humilis (Tibetan ground-tit),1,Nuc-OXPHOS,0.092936,0.017051,0.183470345
Birds,Falco peregrinus (peregrine falcon),1,Nuc-OXPHOS,0.00683,0.005782,0.846559297
Birds,Falco cherrug (Saker falcon),1,Nuc-OXPHOS,0.014527,0.013196,0.908377504
Birds,Corvus cornix (hooded crow),1,Nuc-OXPHOS,0.088898,0.031707,0.356667192
Birds,Gallus gallus (chicken),1,Nuc-Glycolysis,0.285963,0.092137,0.322199026
Birds,Meleagris gallopavo (turkey),1,Nuc-Glycolysis,0.143405,0.037421,0.260946271
Birds,AConcatenatedAlignments platyrhynchos (mallard),1,Nuc-Glycolysis,0.23512,0.052238,0.22217591
Birds,Columba livia (rock pigeon),1,Nuc-Glycolysis,0.349482,0.087354,0.249952787
Birds,Ficedula albicollis (collared flycatcher),1,Nuc-Glycolysis,0.221077,0.096544,0.436698526
Birds,Taeniopygia guttata (zebra finch),1,Nuc-Glycolysis,0.127349,0.030766,0.241588077
Birds,Pseudopodoces humilis (Tibetan ground-tit),1,Nuc-Glycolysis,0.356497,0.097501,0.273497393
Birds,Falco peregrinus (peregrine falcon),1,Nuc-Glycolysis,0.114132,0.049288,0.431850839
Birds,Falco cherrug (Saker falcon),1,Nuc-Glycolysis,0.07388,0.041748,0.565078506
Birds,Corvus cornix (hooded crow),1,Nuc-Glycolysis,0.170337,0.065434,0.384144373
Reptiles,ConcatenatedAlignment,0,Mt,5.7421,0.5581,0.097194406
Reptiles,ConcatenatedAlignment,0,Nuc-OXPHOS,1.8086,0.531,0.293597258
Reptiles,ConcatenatedAlignment,0,Nuc-Glycolysis,1.9463,0.4238,0.217746493
Reptiles,Anolis carolinensis (green anole),1,Mt,2.980855,0.130049,0.043628087
Reptiles,Alligator sinensis (Chinese alligator),1,Mt,0.493211,0.047293,0.095887967
Reptiles,Alligator mississippiensis (American alligator),1,Mt,0.291443,0.035836,0.122960579
Reptiles,Pelodiscus sinensis (Chinese soft-shelled turtle),1,Mt,0.696977,0.08061,0.115656614
Reptiles,Chelonia mydas (green sea turtle),1,Mt,0.482825,0.041836,0.086648372
Reptiles,Anolis carolinensis (green anole),1,Nuc-OXPHOS,0.749552,0.073638,0.098242684
Reptiles,Alligator sinensis (Chinese alligator),1,Nuc-OXPHOS,0.080738,0.031008,0.384057073
Reptiles,Alligator mississippiensis (American alligator),1,Nuc-OXPHOS,0.235583,0.263355,1.117886265
Reptiles,Pelodiscus sinensis (Chinese soft-shelled turtle),1,Nuc-OXPHOS,0.181643,0.063441,0.349262014
Reptiles,Chelonia mydas (green sea turtle),1,Nuc-OXPHOS,0.158822,0.034192,0.215285036
Reptiles,Anolis carolinensis (green anole),1,Nuc-Glycolysis,0.90451,0.123791,0.136859736
Reptiles,Alligator sinensis (Chinese alligator),1,Nuc-Glycolysis,0.122921,0.060542,0.492527721
Reptiles,Alligator mississippiensis (American alligator),1,Nuc-Glycolysis,0.216504,0.081701,0.377364852
Reptiles,Pelodiscus sinensis (Chinese soft-shelled turtle),1,Nuc-Glycolysis,0.263166,0.053051,0.201587591
Reptiles,Chelonia mydas (green sea turtle),1,Nuc-Glycolysis,0.164065,0.045879,0.279639167
Amphibians,ConcatenatedAlignment,0,Mt,2.15538,0.07554,0.035047184
Amphibians,ConcatenatedAlignment,0,Nuc-OXPHOS,0.37082,0.05154,0.138989267
Amphibians,ConcatenatedAlignment,0,Nuc-Glycolysis,0.36974,0.07024,0.189971331
Amphibians,Xenopus laevis (African clawed frog) and Xenopus tropicalis (western clawed frog),1,Mt,2.15538,0.07554,0.035047184
Amphibians,Xenopus laevis (African clawed frog) and Xenopus tropicalis (western clawed frog),1,Nuc-OXPHOS,0.37082,0.05154,0.138989267
Amphibians,Xenopus laevis (African clawed frog) and Xenopus tropicalis (western clawed frog),1,Nuc-Glycolysis,0.36974,0.07024,0.189971331
Teleosts,ConcatenatedAlignment,0,Mt,5.508,0.3151,0.05721
Teleosts,ConcatenatedAlignment,0,Nuc-OXPHOS,2.4408,0.2605,0.10671
Teleosts,ConcatenatedAlignment,0,Nuc-Glycolysis,2.733,0.3312,0.1212
Teleosts,Xiphophorus maculatus (southern platyfish),1,Mt,0.836976,0.06621,0.079106211
Teleosts,Oryzias latipes (Japanese medaka),1,Mt,1.758895,0.061549,0.034992993
Teleosts,Takifugu rubripes (torafugu),1,Mt,1.03301,0.061254,0.059296619
Teleosts,Danio rerio (zebrafish),1,Mt,1.782065,0.100449,0.056366631
