Genome,Complex,Gene,Species,Omega,FPKM
Mt,V,ATP6,Homo,0.1046,43593.55
Mt,V,ATP8,Homo,0.1453,14288.31
Mt,IV,COX1,Homo,0.0457,231338.14
Mt,IV,COX2,Homo,0.025,61058.51
Mt,IV,COX3,Homo,0.0607,467496.55
Mt,III,CYTB,Homo,0.0654,25161.21
Mt,I,ND1,Homo,0.0347,20983.23
Mt,I,ND2,Homo,0.1013,10990.63
Mt,I,ND3,Homo,0.0748,38354.74
Mt,I,ND4,Homo,0.0838,26907.8
Mt,I,ND4L,Homo,0.1045,18820.8
Mt,I,ND5,Homo,0.1488,11681.04
Mt,I,ND6,Homo,0.1034,8177.18
Nuc,V,ATPeF0B,Homo,0.377,3980.42
Nuc,V,ATPeF0C,Homo,0.0513,2033.98
Nuc,V,ATPeF0F,Homo,1.558,2321.12
Nuc,V,ATPeF0F6,Homo,0.182,3815.33
Nuc,V,ATPeF0O,Homo,0.2813,3828.88
Nuc,V,ATPeF1A,Homo,0.0256,9028.02
Nuc,V,ATPeF1B,Homo,0.1317,6718.76
Nuc,V,ATPeF1D,Homo,0.3652,743.62
Nuc,V,ATPeF1G,Homo,0.2107,3882.39
Nuc,V,ATPeFG,Homo,0.1894,3995.93
Nuc,IV,COX10,Homo,0.376,341.3
Nuc,IV,COX11,Homo,0.6896,362.64
Nuc,IV,COX15,Homo,0.5278,130.56
Nuc,IV,COX4,Homo,0.1357,13.89
Nuc,IV,COX5A,Homo,2.2248,4174.95
Nuc,IV,COX5B,Homo,1.4534,8513.29
Nuc,IV,COX6A,Homo,0.1581,196.23
Nuc,IV,COX7A,Homo,0.1202,18561.61
Nuc,IV,COX7B,Homo,0.6622,14796.89
Nuc,III,CYC1,Homo,0.3773,2248.53
Nuc,I,NDUFA2,Homo,0.5318,623.77
Nuc,I,NDUFA4,Homo,0.4818,12068.87
Nuc,I,NDUFA5,Homo,0.4863,3609.62
Nuc,I,NDUFA6,Homo,0.3386,2892.74
